"Season","Week Start","Week End","Week","Location","Care Type","1-Week Percent COVID-19","dtm_updated"
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Better Health Together","Hospitalizations","11.1",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Better Health Together","Emergency Visits","7.4",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Cascade Pacific Action Alliance","Hospitalizations","12.9",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Cascade Pacific Action Alliance","Emergency Visits","5.7",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Elevate Health","Hospitalizations","7.6",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Elevate Health","Emergency Visits","5.1",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Greater Health Now","Hospitalizations","11.1",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Greater Health Now","Emergency Visits","5.6",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Healthier Here","Hospitalizations","3.9",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Healthier Here","Emergency Visits","3.3",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"North Sound","Hospitalizations","7.5",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"North Sound","Emergency Visits","5.3",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Olympic Community of Health","Hospitalizations","9.1",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Olympic Community of Health","Emergency Visits","4.4",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Southwest Washington","Hospitalizations","8",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Southwest Washington","Emergency Visits","4.9",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Statewide","Hospitalizations","7.8",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Statewide","Emergency Visits","5.1",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Thriving Together NCW","Hospitalizations","18.1",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Thriving Together NCW","Emergency Visits","9",2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-10-10 00:00:00,2021-10-16 00:00:00,41,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Better Health Together","Hospitalizations","12.3",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Better Health Together","Emergency Visits","6.9",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Cascade Pacific Action Alliance","Hospitalizations","11.3",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Cascade Pacific Action Alliance","Emergency Visits","5.4",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Elevate Health","Hospitalizations","7.5",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Elevate Health","Emergency Visits","4.6",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Greater Health Now","Hospitalizations","10.3",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Greater Health Now","Emergency Visits","4.4",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Healthier Here","Hospitalizations","4.1",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Healthier Here","Emergency Visits","3.2",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"North Sound","Hospitalizations","8.1",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"North Sound","Emergency Visits","5.6",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Olympic Community of Health","Hospitalizations","11.2",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Olympic Community of Health","Emergency Visits","4.5",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Southwest Washington","Hospitalizations","10.5",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Southwest Washington","Emergency Visits","5.5",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Statewide","Hospitalizations","8.1",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Statewide","Emergency Visits","4.9",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Thriving Together NCW","Hospitalizations","18.1",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Thriving Together NCW","Emergency Visits","8.9",2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-10-17 00:00:00,2021-10-23 00:00:00,42,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Better Health Together","Hospitalizations","9.5",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Better Health Together","Emergency Visits","6.2",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Cascade Pacific Action Alliance","Hospitalizations","10.7",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Cascade Pacific Action Alliance","Emergency Visits","5.4",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Elevate Health","Hospitalizations","6.8",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Elevate Health","Emergency Visits","4.3",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Greater Health Now","Hospitalizations","9.8",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Greater Health Now","Emergency Visits","4.6",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Healthier Here","Hospitalizations","4",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Healthier Here","Emergency Visits","2.8",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"North Sound","Hospitalizations","9.3",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"North Sound","Emergency Visits","6.2",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Olympic Community of Health","Hospitalizations","8.6",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Olympic Community of Health","Emergency Visits","4",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Southwest Washington","Hospitalizations","10.1",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Southwest Washington","Emergency Visits","5.6",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Statewide","Hospitalizations","7.5",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Statewide","Emergency Visits","4.7",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Thriving Together NCW","Hospitalizations","16.3",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Thriving Together NCW","Emergency Visits","7.6",2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-10-24 00:00:00,2021-10-30 00:00:00,43,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Better Health Together","Hospitalizations","9.5",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Better Health Together","Emergency Visits","5.9",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Cascade Pacific Action Alliance","Hospitalizations","8.7",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Cascade Pacific Action Alliance","Emergency Visits","4.3",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Elevate Health","Hospitalizations","6.5",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Elevate Health","Emergency Visits","4.4",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Greater Health Now","Hospitalizations","8.4",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Greater Health Now","Emergency Visits","3.6",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Healthier Here","Hospitalizations","4",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Healthier Here","Emergency Visits","2.8",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"North Sound","Hospitalizations","8.3",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"North Sound","Emergency Visits","5.4",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Olympic Community of Health","Hospitalizations","5.2",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Olympic Community of Health","Emergency Visits","2.9",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Southwest Washington","Hospitalizations","10.4",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Southwest Washington","Emergency Visits","4.1",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Statewide","Hospitalizations","6.9",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Statewide","Emergency Visits","4.2",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Thriving Together NCW","Hospitalizations","13",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Thriving Together NCW","Emergency Visits","7",2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-10-31 00:00:00,2021-11-06 00:00:00,44,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Better Health Together","Hospitalizations","7",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Better Health Together","Emergency Visits","4.6",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Cascade Pacific Action Alliance","Hospitalizations","7.6",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Cascade Pacific Action Alliance","Emergency Visits","4.5",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Elevate Health","Hospitalizations","6.1",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Elevate Health","Emergency Visits","3.9",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Greater Health Now","Hospitalizations","8.4",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Greater Health Now","Emergency Visits","3.8",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Healthier Here","Hospitalizations","3.7",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Healthier Here","Emergency Visits","2.6",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"North Sound","Hospitalizations","8.1",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"North Sound","Emergency Visits","5.6",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Olympic Community of Health","Hospitalizations","5.5",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Olympic Community of Health","Emergency Visits","2.7",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Southwest Washington","Hospitalizations","7",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Southwest Washington","Emergency Visits","4.7",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Statewide","Hospitalizations","6.2",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Statewide","Emergency Visits","4",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Thriving Together NCW","Hospitalizations","14",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Thriving Together NCW","Emergency Visits","6.4",2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-11-07 00:00:00,2021-11-13 00:00:00,45,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Better Health Together","Hospitalizations","6.9",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Better Health Together","Emergency Visits","4.1",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Cascade Pacific Action Alliance","Hospitalizations","7.5",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Cascade Pacific Action Alliance","Emergency Visits","4.7",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Elevate Health","Hospitalizations","5",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Elevate Health","Emergency Visits","3.3",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Greater Health Now","Hospitalizations","6.5",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Greater Health Now","Emergency Visits","3",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Healthier Here","Hospitalizations","3.2",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Healthier Here","Emergency Visits","2.3",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"North Sound","Hospitalizations","8.3",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"North Sound","Emergency Visits","5.3",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Olympic Community of Health","Hospitalizations","5.2",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Olympic Community of Health","Emergency Visits","3.3",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Southwest Washington","Hospitalizations","8.1",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Southwest Washington","Emergency Visits","3.8",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Statewide","Hospitalizations","5.6",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Statewide","Emergency Visits","3.6",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Thriving Together NCW","Hospitalizations","9.7",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Thriving Together NCW","Emergency Visits","4.6",2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-11-14 00:00:00,2021-11-20 00:00:00,46,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Better Health Together","Hospitalizations","7.5",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Better Health Together","Emergency Visits","3.7",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Cascade Pacific Action Alliance","Hospitalizations","8.3",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Cascade Pacific Action Alliance","Emergency Visits","4.5",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Elevate Health","Hospitalizations","4.9",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Elevate Health","Emergency Visits","3",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Greater Health Now","Hospitalizations","5.1",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Greater Health Now","Emergency Visits","2.4",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Healthier Here","Hospitalizations","3.4",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Healthier Here","Emergency Visits","2.3",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"North Sound","Hospitalizations","7.8",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"North Sound","Emergency Visits","4.6",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Olympic Community of Health","Hospitalizations","2.6",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Olympic Community of Health","Emergency Visits","2.1",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Southwest Washington","Hospitalizations","6.4",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Southwest Washington","Emergency Visits","3.4",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Statewide","Hospitalizations","5.5",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Statewide","Emergency Visits","3.2",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Thriving Together NCW","Hospitalizations","8.8",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Thriving Together NCW","Emergency Visits","3.9",2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-11-21 00:00:00,2021-11-27 00:00:00,47,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Better Health Together","Hospitalizations","5.5",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Better Health Together","Emergency Visits","3.2",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Cascade Pacific Action Alliance","Hospitalizations","7.2",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Cascade Pacific Action Alliance","Emergency Visits","4.1",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Elevate Health","Hospitalizations","4.1",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Elevate Health","Emergency Visits","3",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Greater Health Now","Hospitalizations","5",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Greater Health Now","Emergency Visits","2.3",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Healthier Here","Hospitalizations","2.6",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Healthier Here","Emergency Visits","2.1",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"North Sound","Hospitalizations","7.5",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"North Sound","Emergency Visits","4.5",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Olympic Community of Health","Hospitalizations","4.4",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Olympic Community of Health","Emergency Visits","2.9",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Southwest Washington","Hospitalizations","7.1",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Southwest Washington","Emergency Visits","3.8",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Statewide","Hospitalizations","4.8",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Statewide","Emergency Visits","3.1",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Thriving Together NCW","Hospitalizations","8.5",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Thriving Together NCW","Emergency Visits","4.3",2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2021-11-28 00:00:00,2021-12-04 00:00:00,48,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2021-12-05 00:00:00,2021-12-11 00:00:00,49,"Better Health Together","Hospitalizations","5.7",2024-04-16 07:58:20
"2021-2022",2021-12-05 00:00:00,2021-12-11 00:00:00,49,"Better Health Together","Emergency Visits","3.3",2024-04-16 07:58:20
"2021-2022",2021-12-05 00:00:00,2021-12-11 00:00:00,49,"Cascade Pacific Action Alliance","Hospitalizations","7.9",2024-04-16 07:58:20
